"Salud, alimentación y entornos saludables",Educación para la transformación,Revolución económica y de justicia para las mujeres,"Construyendo la revolución desde el amor, la sexualidad y la diversidad",Estado,Distrito
critica- pese a exitir un espacio del ISSTE los gobiernos no consideraon una optimizacion y mejora incluyendo el actual,"alos docentes se les capacite adecudamente, con especialidad en el tema",mas consideraciones para madres con la patria potestad de los hijos ,.,EDOMEX,38
realizar platicas de  buena alimentacion a las comunidades ,principalmente tomar en cuenta a las personas encargadas de la niños mejor capácitados,vulnera el docmento la igualdad,.,EDOMEX,38
"la salud es indispensable , mayor presupuesto , mas universidesde en materia medica y haya mas personal  medico",mayor vigilanzia de los recurso en las escuelas,informacion con mayor cobertura  ,.,EDOMEX,38
no subragar los servicios,vigilar los horaroios laborales delos maestros,mas seguridad y tranquilidad para las mujeres,.,EDOMEX,38
que haya mas capacidad medica en los hopitalles.,dejar de influenciar a la sociedad en cuestion de inlcusion ya que promueven el homosexualismo,talleres para capacitar a mujeres sin estudios ,..,EDOMEX,38
mas clinicas en ejidas de TEQUISTAC ya que los adultos mayores no tenemos ningun servico medico ,otrogar becas a alumnos que lo necesiten y se les de seguimiento a los alumnos para que los tutores no lo malgasten,mas becas ,,EDOMEX,38
"crear mas escuelas , para enfermeros y medicos y que el secretario de saludo federal sea medico de campo y no de escritorio.",que los profesores no pidan tanto material de ingresos ya que debe de ser gratuita,mas igualdad para todos,.,EDOMEX,38
programas enfocados a llevar acamo una salud  mental y nutricional,capacitar adecudamente a los docente en el proyecto de la nueva escuela,promover los valores donde se reconosca la autoridad de la jefa de familia,.,EDOMEX,38
mas hopitales de 3° nivel y que los equipos medicos funcionen bien.,"la educacion es en cas el aprendisaje es en la escuela , mas escuelas para discapacitados ",promovewr la igualdad economica,,EDOMEX,38
"mayor abastecimiento de medicamentos en el IMSS, ISSSTE E ISEMYN",que den los apoyos a todas la personas que realmente lo necesitan,optimizacion de programas para mujeres maltratadas,.,EDOMEX,38
SALUD PARA TODOS,que los niños tenga acesso a escuelas secanas,mejores opciones para convatir y prfevenir los feminicidios,.,EDOMEX,38
MAS  MEDICAMENTO EN EL IMSS Y ATENCION MEDICA SIN REGIONALIZACION ,"ayudar a toda la poblacion a tener un  mejor entendimiento , y capacitar a los maestro en humanismo",mas bienestar social a mujeres,.,EDOMEX,38
optimizacion de tiempos en las especialidades. ,evaluacion continua alos docentes,mas aopyos para amas de casa,.,EDOMEX,38
que todos los que trabajen en el gobirno sean honestos,fometar un proyecto educativo con eldesarrollo de habilidades y integrales para su dia a dia,trabajo para todas las mujeres  deacurdo a sus aptitudes y experiencia,.,EDOMEX,38
mayor atencion a los caminos  y sistemas de drenaje en CUAUTLALPAN. ,becas o estimulos de movilidad ,mas oportunidades  de tranbajo ,.,EDOMEX,38
UNA CLINACA DE DIABETE EN CHINCONCUAC,brindar una mejor educasion y dejar de colocar sus ideologia en la escuelas ,educacion enfacada en los valor a jovenes y niños,.,EDOMEX,38
politacas publicas en materia de salud PREVENTIVA.,que las aulas tengan menos alumnos y obligar a la sep que los grupos sean maximo de 30 personas ,disminuir la brecha salarial entre hombres y mujeres  aun mas,.,EDOMEX,38
POR FAVOR SER MAS HONESTO ,que haya mas opotunidades para jovenes egresados univeristarios ,seguir dando apoyos econoicoas a amas de casa y estudiantes,.,EDOMEX,38
NO HAY ESTADO DE DERECHO,"propciar un mayo dialogo entre alumno ,  docente y padre de familia.",ayuda a las mujeres en los salarios,.,EDOMEX,38
MAS EMPATIA AL PERSONAL DE SALUD,que los empresarios participen en la parte educativa y otorgen recursos alas escuelas si los gobiernos no lo hacen,aplicaion de la igualdad ,.,EDOMEX,38
mayor acceso a los servicios de salud.,complementar el presupuesto para que se lleve acabo  los proyectos del sectror salud,respeto e igualdad a las mujeres.,.,EDOMEX,38
que no falten medicamento y mayor atencion ,mayor vigilancia en las comunidades lejanas,.,.,EDOMEX,38
mayor conciencia a la ciudadania ,erradicar el analfabetismo de lenguas originarias y fomentar  la enseñaza de los idiomas originarios,..,,EDOMEX,38
mas atencion a hospitales y mayor abasteciomiento de medicamentos,optimizar  los dias donde  el profesor no llegue ala escuela envez de regresarlos a sus casas,.,.,EDOMEX,38
"mas prioridad  al sector salud,  y atencion a  grupos finacieramente vulnerables.",darle  mas impulso y apoyo grupos indigenas,.,.,EDOMEX,38
mas equipamiento al sector  salud y maypor atencion a los mas necesitados,es iportante fomentar  el avito de la lectura ,.,.,EDOMEX,38
mas acciones que permitan una mayor convivenvia familiar,las becas del gobierno federal tambiendeberian ser en escuelas privadas,..,.,EDOMEX,38
mas atencion  medica y una mayor participacion social.,impulsar una nuevas educasiosn para las  nuevas generaciones ,.,.,EDOMEX,38
un mejor trato del personal medico hacia los pacientes y una mayoir optimizacin del servicio medico.,supervision de practicas educativas para erradicar practicas anticuadas.,.,.,EDOMEX,38
centros de rehabiliotacion por comunidades,cabiar la sede de la sep ya que esta en medios privados,..,,EDOMEX,38
"un mejor sistema de salud , cercano , accesible y humanista por parte del personal medico.",fomentar la educacion con equidad y el razonamiento ,.,.,EDOMEX,38
coolaborar con farmacia similares.,,,.,EDOMEX,38
implementacion de hospitales a personas que no cuentan segurad social.,",",",",.,EDOMEX,38
que los medicos esten preparados y con mayor etica y paciencia ,.,.,.,EDOMEX,38
personal de  salud con mayor vocacion al servico medico y honestos,.,.,.,EDOMEX,38
mas enfoque hacia la prevencion desde las  ecuelas ,.,.,.,EDOMEX,38
medicina preventiva atrabes de la educacion nutricional,.,.,.,EDOMEX,38
que en la 4t sea humanista con el comercio informal y astesanos que no perciben seguridad social.  ,.,.,.,EDOMEX,38
optimizacion de los medicamentos  establecidos e integrar un mayor suministro de los mismos,.,.,,EDOMEX,38
reformar la ley general de salud para prohibir narcóticos y psicóticos que la marihuana solo sea de uso científico y medicinal basándose en los estudios de la neurociencia,Que todos tengan el beneficio de becas en universidades técnicas como la universidad tecnológica de Zinacantepec que solo algunos tienen beca,el apoyo desde la educación inicial el respeto a las mujeres,promover la diversidad hasta una edad adecuada no desde la niñez sino pasada a la adolescencia,EDOMEX,40
para obtener mejor alimentación tenemos que tener todos los productos más accesibles por tanto está muy caro y no nos alcanza para todo porque en la actualidad si compro comida no compro frutas y verduras,implementar talleres en las escuelas apoyar a las escuelas en sus necesidades,que se le dé el apoyo a las mujeres que lo necesitan ya que es al revés,referirnos a la familia es convivir más con los hijos y comentar con ellos estos temas que antes eran intocables,EDOMEX,40
las mujeres trabajamos más en casa,que ya no cobren inscripciones en las escuelas no hay gran maltratos peleas porque es lo más que se ve falta de respeto con los maestros les faltan el respeto a los alumnos y hay y que haya seguridad en las escuelas,que se atienda a todas las mujeres se tomen en cuenta a todas,control del contenido de redes sociales en menores de edad para evitar actos violentos adicciones a la pornografía también en adultos,EDOMEX,40
,que los docentes sean muy preparados y cambien reglas de su sindicato para que no cualquiera sea trabajador de la SEP,tipificar el acto de personas o de los familiares que les roban sus apoyos a las y los adultos mayores,que hagan leyes para respetar todas las diversidades,EDOMEX,40
que haya más posibilidades centro de salud para atender a más gente,que se tomen en cuenta a los padres de familia para definir los contenidos de los libros de texto,impulsar un cambio en la cultura del machismo pero con todos los seres humanos,hay muchas personas que siguen discriminando a esas personas hasta si van a pedir trabajo por su forma de vestir y no se vale todos somos iguales y reforzar las lenguas indígenas,EDOMEX,40
que la liconsa con productos de abarrotes a buen precio centros de salud con laboratorios para estudios y radiografías,que se hagan más escuelas y universidades para que no sé quede los jóvenes sin estudiar,que nos den más apoyo y nos pongan el seguro popular porque no todos tenemos mucho dinero para llevar a particulares la verdad sí lo necesitamos,paridad con comunidad lgbt atender la prevención y potencializar la distribución de medicamentos para tratamientos de personas con VIH fortalecer la consulta con respeto,EDOMEX,40
capacitar al servicio encargado,no cubren las inscripciones ya que las cobran a alto precio así mismo que las pensiones sean en general no para los adultos mayores,pero que las mujeres también sean honestas las mujeres que hablen con la verdad,ajá apoyar a las personas ya que muy independiente desorientación sexual todos somos iguales no tenemos por qué discriminarlos todo esto antes era considerado como personas raras o enfermas eran como estereotipos,EDOMEX,40
campañas y brigadas de salud en escuelas,regresar la autoridad a los profesores en las aulas ya que hoy en día no se respeta el alumno al profesor y él no le puede llamar la atención al alumno porque los padres se molestan,reconocer el trabajo de cada ama de casa,que haya fundaciones que ayuden a las personas que son echadas de casa por su sexualidad,EDOMEX,40
que los médicos hagan su trabajo con ética,guiar o dirigir la educación hacia el pensamiento crítico,que se dé mayor fomento a la educación con perspectiva de género,,EDOMEX,40
evitar en lo más posible hacer uso de la farmacéutica necesitamos mejorar la alimentación sin obesidad fuera coca-cola McDonald's y esas cadenas bebidas energéticas azúcares,que haya mayor porcentaje de becas para estudiantes para que puedan acabar sus estudios,seguir dando trabajo a la mujer,,EDOMEX,40
que la atención sea cordial y las haya personas que realmente tengan amor a su trabajo para que la atención sea con respeto y no con prepotencia,que los programas lleguen a los comunidades y a todos los niños se les de beca y a todas las escuelas,más que nada un cambio en salario y condiciones de trabajo tanto para hombres y mujeres 6 horas de trabajo y mejor sueldo,,EDOMEX,40
la salud comprende tres rubros mental física y social me gustaría que también se incluyeran propuestas para atender al bienestar mental y social,un país que no invierte en educación tardan temprano invierte en armas,que sea parejo para hombres y mujeres que no haya desigualdad,,EDOMEX,40
prácticas de orientación,,aumentar la seguridad,,EDOMEX,40
,,que Los sueldos sean justos porque le pagan más a un hombre que a una mujer,,EDOMEX,40
,,para que a las mujeres estén más seguras cuando salgan a la calle más cámaras luces y en los trabajos tienen que aceptar a las mujeres embarazadas en el machismo en cualquier trabajo,,EDOMEX,40
,,al hablar de violencia familiar casi siempre la victimiza la mujer por qué he vivido violencia familiar y soy hombre creo que en el hablar de violencia tiene que ser más amplio,,EDOMEX,40
,,las mujeres tengan más libertad de expresión,,EDOMEX,40
,,aplicar la ley en todos sus ámbitos y darle legalidad a la seguridad salarial,,EDOMEX,40
,,como hombres y mujeres tenemos el mismo derecho,,EDOMEX,40
,,trabajar más en los derechos de las mujeres y dar prioridad más a la,,EDOMEX,40
Que a los trabajadores del sector salud no abusen de su espacio laboral y tengan mejor trato,Que no se hereden ni se vendan plazas para poder cubrir las necesidades del pais y cubrir la totalidad territorial,Revalorar la funcion educativa de las mujeres hacia los hijos en el entorno familiar,Tener una buen capacitacion de mentalidad,Michoacán,1
Garantizar las dotaciones de medicamentos,Que los maestros se actualizen y que enseñen de base otros idiomas ,Me gustaria un lugar mejor de tranahjo para las mujeres y superar la economia,Incluir una secretaria en cada comite estatal de la comunidad y diversidad sexual,Michoacán,1
Recibir buen trato en atencion de salud ,Realizar un censo de infraestructura de las instituciones educativas,Poner atencion tambien en la violencia politica por razon de genero que ejerce el presidente,Comunicar la importancia de la familia ,Michoacán,1
,Educar a padres de familia por la cultura ,Se siga trabajando la igualdad de derechos,,Michoacán,1
,Tener maestros responsables en la educacion de los alumnos y dedicacion a las escuelas,Ellas respeten al hombre ,,Michoacán,1
