Salud alimentación y entornos saludables,Educación para la transformación,Revolución económica y de justicia para las mujeres,Construyendo la revolución desde el amor la sexualidad y la diversidad
"Que toda persona con el simple hecho de ser ciudadano tenga derecho a la atención de salud, no importe si tenga o no seguro social se les debe de dar atención médica.",Dar bonos a niños menores de edad.,Libertad sexual.,"Cambiar la mentalidad cerradas sobre los temas de sexualidad, se requiere asesorías a los padres para que tengan herramientas y puedan contestar las dudas de sus hijos, para no desviar la respuesta correcta a sus hijos. En la población en general se van a encontrar personas con preferencias personales. “Empatía” Profesora: Ramona Puente."
Parque de calistenia para el deporte.,Educación superior gratuita.,La igualdad de hombre y mujer sea responsable de uno mismo y aumentar los valores en la educación también.,Así como quieren impulsar LGBTIQ también impulsar la familia tradicional que también tienen los mismos derechos que “ELLE”. Ahora es más el LGBTIQ que los que somos diferentes a ella.
"Gimnasio, calistenia.",Checar en cada estado poder proveer las condiciones ideales en las escuelas según el clima para que nuestros niños y jóvenes puedan retener las enseñanzas recibidas y ponerlas en práctica.,Apoyar a las buenas mujeres por que no todas son buenas madres. También hay irresponsables que no cuidan a los hijos y hoy en día son unos delincuentes.,"Con la pena, pero no estoy de acuerdo."
"En hospitales, centros de salud, etc., estén con el equipamiento necesario y medicamentos.",Debería seguir la misma educación de antes en las escuelas porque los muchachos de ahora no saben ni leer ni escribir.,Inciso (a) ya están integradas.,Garantizar para todos los que formamos este país.
"Alto total a la publicidad en comida chatarra, a los medios de comunicación no les interesa nuestra salud.","La educación es para aprender lo que no sabemos, el maestro te enseña que es lo que se va a hacer y los libros son guías para los alumnos.",Que haya igualdad.,María Norma Hernández. Río Hondo 417.
Que todo siga igual es buena la MORENA.,Suprimir cuotas obligatorias escolares en todos los niveles educativos,Enseñar bien sobre la igualdad entre mujeres y hombres para no tomarlo de una manera equivocado y provocar problemas entre las parejas y matrimonios.,Enseñar el respeto desde la educación en casa y en la escuela.
Tener buena atención hacia las personas y dar más atención hacia las personas enfermas y la atención en el momento justo cuando lo soliciten los pacientes.,"Comprometer, exigir y motivar a todos los padres de familia para educar en todos los frentes. Tanto en religión, política, deportes, civismo… etc. Ya que son los primeros en esa responsabilidad.","Hacer conciencia de los libros de primaria, tenemos que hablar que sigan los libros.",Que les eduquen bien todo en estos temas.
Garantizar los medicamentos y los servicios diversos que garanticen el buen estado de salud inclusiva y con empatía y profesionalismo dejar de tener un servicio tercermundista.,Garantizar la educación con todas las becas para toda la familia.,"Que haya justicia para las familias que sufrieron y sufren de feminicidio, necesitamos justicia ya no más injusticia, yo he sido parte de esto lamentablemente y el miedo se convirtió en furia y sed de justicia.",Enseñar a los niños lo que es sexualidad y hablar con os niños de las libertades y los compromisos.
"Que no engañen y construir y sobretodo mantener parques para la activación física tanto de niños, adolescentes y adultos.",Sacar al joven de las esquinas y alentarlos al estudio.,María norma Hernández 417.,Limpia de plaza.
"Hay que poner atención hacia los jóvenes para que no caigan en las drogas. Elvia Margarita Cerda Reyes 8735973362. Por favor, necesito ayuda.",Que los maestros sean mejor pagados y exigir que cumplan con su tarea educativa y que no haya ausentismo de maestros.,Que funcionen asciendas sin desviar atención a los recursos y apoyando a todas las mujeres que tengan todas las necesidades básicas.,Necesitamos pone atención a los jóvenes para que dejen las drogas. Gregoria Reyes Hernández.
Vigilar que en el sector salud haya personas honradas y no lucren con los medicamentos que nos corresponden. Que haya gente honesta en el sector salud y que no haya carencia de medicamentos.,Mejorar.,Todo está bien. Justicia para las mujeres.,"Enseñando respetar y valorar a las personas adultas y a las niñas y niños, a las personas con discapacidad."
Eliminar las UMAS.,Ocupamos transporte,"Apoyo para las mujeres trabajadoras, que haya justicia para todas.",Que haya más unidad familiar en el hogar y hablar con nuestros hijos de los mejores ejemplos.
Que Cualquier persona sea atendida en cualquier institución en caso de emergencia teniendo seguro social.,María Norma Hernández Allende Río Hondo 417.,Apoyar con traslado de rampa.,Necesitamos hablar con nuestros hijos de la sexualidad. Hay que explicar lo de la sexualidad y abrirles los ojos.
"La alimentación es primero desayuno jugos, licuados; almuerzo y comida para estar bien, nos enfermamos acudir al médico a checarse para seguir alimentándose y estar bien de salud.",En esta colonia falta transporte.,Solo recordar que la violencia de género es del sexo masculino a femenino y del sexo femenino al masculino y el apoyo también es para ambos sexos.,No estoy de acuerdo con eso.
Que se supervise y que no se tarden en consultar.,Que supervisen o tengan archivos donde usen adecuadamente el dinero obtenido de padres y estudiantes ya que el dinero obtenido no se usa al parecer se lo quedan o reparten.,Programas para la crianza de los niños y niñas desde su nacimiento hasta la edad prescolar respecto a prácticas de crianza.,Educar primero a los adultos para que tengan herramientas para saber sobre sexualidad en los centros comunitarios.
Que se asegure que siempre esté un medio disponible de transporte para llegar al lugar donde toca consultar y que pueda haber una cantidad considerable de caminos.,Asegurar que quienes no tengan los recursos económicos tengan el acceso mediante apoyos económicos bien definidos.,"Igualdad para mujeres decidir por una misma sociedad plena, paz y justicia.",Que todo siga.
Y agregar los insumos suficientes para satisfacer las necesidades de nuestra sociedad.,"Para el éxito educativo se requiere reeducar a los padres de familia ya que cada vez hay padres más jóvenes, apenas concluyeron su nivel medio básico o truncaron su preparatoria. Cómo les ayudan al progreso educativo de sus hijos. Maestros con más información actual sobre psicología, pedagogía y emocional para su bienestar y así apoyar el entorno escolar y familiar. El método globalizador es un reto para los maestros jóvenes o recién egresados. Profa Ramona Puente.","Trabajo en equipo familiar, anular la palabra mandilón en casa y en la escuela. Ramona Puente del Bosque.",Información científica sobre las diferencias sexuales.
"Enfocarnos a la alimentación y medicamentos, siempre dar un valor de que al niño o niña se alimente al iniciar a sus clases y evitar auto medicarse.",Educación más económica a nivel profesional y técnica.,Pago justo y las oportunidades a personas con 50 años.,"Que haya educación de sexualidad y diversidad, no entiendo por qué tanto miedo y odio hacia esto."
Debemos ser conscientes de la gente que trabaja en el campo y apoyar más.,"Lectura, lectura siempre lectura.",Equidad e igualdad en todos los ámbitos.,"Todo lo de diversidad es a su respectiva edad, no a menores de edad."
Que en cualquier institución de salud sean atendidas las personas en caso de emergencia tenga o no tenga IMSS.,Mejores instalaciones en las escuelas públicas.,Trabajar por igualdad.,"No estoy de acuerdo con ninguna (opciones de la boleta), yo sigo pensando que cuando nacemos somos hombres o mujeres y no deberíamos de cambiar sino tratar de crecer en el sexo que seamos y claro que estoy de acuerdo en no a la discriminación."
Es importante no discriminar ya que todos somos iguales y merecemos atención igualitaria y mucho más porque la salud es lo más importante.,Escuelas científicas.,Limpia a la plaza.,N se debe discriminar a nadie ni juzgarla.
Tener más personas en las clínicas y más medicamento para la comunidad.,Comedor en las escuelas públicas.,"Que haya igualdad, hombres y mujeres.",Que eliminen el todes.
Mejorar el servicio médico y del sector salud.,Que se siga haciendo todo esto para bien de nuestro país.,"En el IMSS, ISSTE, etc. hay eventuales con más de 8 años en ese sistema sin recibir las prestaciones que los demás tienen. Aun los hay y muchos.","Las leyes deben de ser igualitarias para toda persona, no puede existir una ley para unos y otra para otros, entonces habría confusión y descontento. Dios castiga todo esto."
Supervisar bien que existan medicamentos suficientes.,Tener mejores escuelas donde los niños no sufrían. Julia Enriqueta Ruíz Hernández. Río Hondo 417,Creación de guarderías para madres trabajadoras.,"Por sí mismo hay que aprender las cosas por experiencia que nuestros papás nos digan nos dan a saber cómo hacer, no es todos uno mismo hay que aprender"
"Que se hagan estudio clínicas en familias, principalmente en adultos mayores.",A la mejor condiciones laborales gracias por todas las ayudas al presidente gracias muchas gracias.,Que sigan apoyando.,Enseñar a los niños a respetar a las personas sin importar sus preferencias.
